ncsClCd,KECO,name
15050202,8114.0,냉동·냉장·공조기 설치· 정비원
15050203,8114.0,냉동·냉장·공조기 설치· 정비원
15050203,8140.0,냉·난방 설비 조작원
15050204,8115.0,보일러 설치·정비원
15050204,8140.0,냉·난방 설비 조작원
15050205,8115.0,보일러 설치·정비원
15050205,8140.0,냉·난방 설비 조작원
15050301,8129.0,기타 운송장비 정비원
15050302,8129.0,기타 운송장비 정비원
15060101,1511.0,기계공학 기술자 및 연구원
15060102,1511.0,기계공학 기술자 및 연구원
15060102,1513.0,기계·로봇공학 시험원
15060103,1511.0,기계공학 기술자 및 연구원
15060201,8171.0,자동차 조립원
15060201,8172.0,자동차 부품 조립원
15060202,1513.0,기계·로봇공학 시험원
15060202,8124.0,자동차 정비원
15060301,8124.0,자동차 정비원
15060302,8124.0,자동차 정비원
15060303,8124.0,자동차 정비원
15060304,8124.0,자동차 정비원
15060305,8124.0,자동차 정비원
15060305,8251.0,도장원(도장기조작원)
15060306,8124.0,자동차 정비원
15060307,8124.0,자동차 정비원
15060401,263.0,총무 사무원 및 대학 행정조교
15060401,8124.0,자동차 정비원
15060402,8124.0,자동차 정비원
15060501,6123.0,자동차 영업원
15060502,8124.0,자동차 정비원
15070101,1511.0,기계공학 기술자 및 연구원
15070102,1511.0,기계공학 기술자 및 연구원
15070102,8173.0,운송장비 조립원
15070103,1513.0,기계·로봇공학 시험원
15070103,6213.0,철도·전동차 기관사
15070201,8123.0,철도기관차·전동차 정비원
15070202,8123.0,철도기관차·전동차 정비원
15070203,8123.0,철도기관차·전동차 정비원
15070203,8311.0,산업 전기공
15070204,8123.0,철도기관차·전동차 정비원
15070205,8123.0,철도기관차·전동차 정비원
15080101,1511.0,기계공학 기술자 및 연구원
15080102,1511.0,기계공학 기술자 및 연구원
15080103,1511.0,기계공학 기술자 및 연구원
15080104,1511.0,기계공학 기술자 및 연구원
15080105,1511.0,기계공학 기술자 및 연구원
15080106,1531.0,전기공학 기술자 및 연구원
15080107,1401.0,건축가
15080107,1511.0,기계공학 기술자 및 연구원
15080201,8132.0,금속 공작기계 조작원
15080201,8221.0,판금원
15080201,8223.0,제관원
15080201,8241.0,용접원
15080202,6230.0,물품이동장비 조작원 (크레인·호이스트·지게차)
15080202,8173.0,운송장비 조립원
15080202,8241.0,용접원
15080203,8251.0,도장원(도장기조작원)
15080204,8173.0,운송장비 조립원
15080205,7019.0,기타 건설 구조 기능원
15080301,7032.0,공업 배관공
15080301,8173.0,운송장비 조립원
15080301,8241.0,용접원
15080302,8311.0,산업 전기공
15080302,8422.0,통신장비 설치·수리원
15080303,7032.0,공업 배관공
15080303,8173.0,운송장비 조립원
15080304,7016.0,건축 목공
15080304,7023.0,단열공
15080304,7024.0,바닥재 시공원
15080401,284.0,생산·품질 사무원
15080401,1513.0,기계·로봇공학 시험원
15080402,284.0,생산·품질 사무원
15080402,1513.0,기계·로봇공학 시험원
15080403,284.0,생산·품질 사무원
15080403,1522.0,금속·재료공학 시험원
15080501,284.0,생산·품질 사무원
15080501,1511.0,기계공학 기술자 및 연구원
15080502,284.0,생산·품질 사무원
15080502,1511.0,기계공학 기술자 및 연구원
15080503,284.0,생산·품질 사무원
15080503,1511.0,기계공학 기술자 및 연구원
15080601,1513.0,기계·로봇공학 시험원
15080601,6212.0,"선장, 항해사 및 도선사"
15080602,1513.0,기계·로봇공학 시험원
15080602,6212.0,"선장, 항해사 및 도선사"
15080603,1513.0,기계·로봇공학 시험원
15080603,6212.0,"선장, 항해사 및 도선사"
15080701,8122.0,선박 정비원
15080701,8223.0,제관원
15080701,8241.0,용접원
15080701,8251.0,도장원(도장기조작원)
15080702,8114.0,냉동·냉장·공조기 설치·정비원
15080702,8122.0,선박 정비원
15080703,7032.0,공업 배관공
15080703,8122.0,선박 정비원
15080704,8122.0,선박 정비원
15080704,8311.0,산업 전기공
15080704,8422.0,통신장비 설치·수리원
15080705,8122.0,선박 정비원
15080705,8223.0,제관원
15080705,8241.0,용접원
15080705,8251.0,도장원(도장기조작원)
15080801,8173.0,운송장비 조립원
15080802,8173.0,운송장비 조립원
15080803,8173.0,운송장비 조립원
15080804,8122.0,선박 정비원
15080804,8251.0,도장원(도장기조작원)
15080805,8122.0,선박 정비원
15090101,1511.0,기계공학 기술자 및 연구원
15090102,1511.0,기계공학 기술자 및 연구원
15090103,1532.0,전자공학 기술자 및 연구원
15090104,1511.0,기계공학 기술자 및 연구원
15090105,1511.0,기계공학 기술자 및 연구원
15090201,1511.0,기계공학 기술자 및 연구원
15090201,8132.0,금속 공작기계 조작원
15090201,8173.0,운송장비 조립원
15090202,1511.0,기계공학 기술자 및 연구원
15090202,8162.0,금속기계부품 조립원
15090202,8173.0,운송장비 조립원
15090203,8173.0,운송장비 조립원
15090203,8360.0,전기·전자 부품·제품 조립원
15090301,8121.0,항공기 정비원
15090302,8121.0,항공기 정비원
15090303,8121.0,항공기 정비원
15090304,8121.0,항공기 정비원
15090305,8121.0,항공기 정비원
15090306,8121.0,항공기 정비원
15090307,8121.0,항공기 정비원
15090308,8121.0,항공기 정비원
