job_title,texts
생산 자재 출하 관리직 모집 공고,"생산 관리(op) 자재 관리(원료 상,하차) 출하 관리(지게차 제품 상,하차), 지게차,생산관리,재고관리,공정관리,원가관리, 신입, ,, 경력, (년수무관), 학력무관, 정규직, 0명, 충남 아산시, 국민연금, 건강보험, 고용보험, 산재보험, 중식비, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
2024년 영암군가족센터 [이중언어 강사] 모집,"★ 실업급여 수급을 위한 지원시 담당자에게 전달 예정- 채용분야 : 베트남어 강사- 주요업무 : 모국어 학습 직접 교육 운영- 응시자격 : 첨부된 안내문 참조 -, (최소 0년 3 개월 이상), 필수, 학력무관, 기간의 정함이 없는 근로계약, 1명, 입사지원현황통계, 전라남도, 영암군, 삼호읍 세가래로 88, 종합복지회관 2층, 한국어 강사(다문화 언어지도사 포함), 다문화강사"
수원광교 아트윈 스팀세차장에서 크루(세차원/광택) 모집,"서비스, 경력, (최소 1년, 이상), 학력무관, 정규직, 0명, 경기 수원시 영통구, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
"[전주병원] 병원 인사, 총무 행정업무 경력자 모집공고","총무·법무·사무,인사·노무·HRD,의료, 경력, (최소 5년, 이상), 대졸(2~3년), 정규직, 0명, 전북 전주시 완산구, 근무형태 :, 주 5일 근무, (월~금), 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
(주5일)은평구 구산탑정형외과에서 간호선생님 구인합니다.,"의료, 무관, 학력무관, 정규직, 0명, 서울 은평구, 수도권 6호선, 구산역, 0번출구, 100m, 근무형태 :, 탄력적근무제, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
"[전문건설]  현장 공사, 공무 채용 (신입/경력)","건설·건축, 무관, 학력무관, 정규직, 0명, 부산 동래구, 부산 1호선, 온천장역, 0번출구, 500m, 퇴직연금, 직무능력향상교육,연차,근로자의날 휴무,휴가비지원,퇴직연금,퇴직금,차량유류비지급,점심식사 제공,각종 경조사 지원,유니폼지급,간식 제공,4대 보험,주 52시간제 준수, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[기장현대요양병원] 3교대 근무 간호조무사 모집합니다.,"의료, 무관, 고졸, 정규직, 0명, 부산 기장군, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
뷰티라인의원(나주혁신점)  [정규직] 피부관리사 경력무관 채용,"서비스, 경력, (최소 1년, 이상), 학력무관, 정규직, 0명, 전남 나주시, 근무형태 :, 주 6일 근무, (월~토), 퇴직연금, 퇴직연금,점심식사 제공,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
"은평한의원에서 직원분을 모십니다 (무자격자,재지원자 가능)","의료, 무관, 학력무관, 정규직, 0명, 서울 은평구, 수도권 3호선, 연신내역, 0번출구, 300m, 근무형태 :, 주 6일 근무, (월~토), 퇴직연금, 퇴직연금,장기근속자 포상,우수사원포상,퇴직금,구내식당(사원식당),점심식사 제공,명절선물/귀향비,유니폼지급,음료제공(차,커피),4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[공연 스탭] 콘서트 장치 및 레이저 오퍼레이터 정규직 모집,"미디어·문화·스포츠, 무관, 학력무관, 정규직, 00명, 경기 하남시, 근무형태 :, 탄력적근무제, 근무시간 :, 11:00~19:00, 퇴직금, 휴가비지원,상여금,퇴직금,차량유류비지급,점심식사 제공,회식강요 안함,명절선물/귀향비,휴게실,수면실,회의실,공기청정기,카페테리아,자유복장,식비 지원,음료제공(차,커피),회사차량 있음,노트북,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[전주병원] 시설의공팀 전기기사 모집공고,"건설·건축, 경력, (최소 1년, 이상), 대졸(2~3년), 정규직, 0명, 전북 전주시 완산구, 근무형태 :, 주 6일 근무, (월~토), 퇴직금, 연차,퇴직금,점심식사 제공,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[병동] 간호조무사  채용합니다,"의료, 무관, 학력무관, 정규직, 0명, 부산 연제구, 퇴직연금, 교육비 지원,퇴직연금,건강검진,의료비지원(본인),구내식당(사원식당),점심식사 제공,저녁식사 제공,각종 경조사 지원,사우회(경조사회),명절선물/귀향비,생일선물/파티,의료비지원(가족),회의실,공기청정기,유니폼지급,사원증,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
주간활동사 모집,"주간활동사 (계약직) -주간활동 서비스 관련 업무[자격기준]º 사회복지사 자격증 소지자º 발달재활서비스 제공인력º 평생교육사º 직업능력개발훈련교사º '국가기술자격법' 에 따른 - 직업상담사, 제빵 기능사, 제과 기능사, 조리기능사, 임상심리사,등º 장애인 재활 관련학, 교육학, 언어치료학, 체육학, 건강관리한, 음악 미술 등 전문학사 이상º 운전면허 1종 보통(신제운전 가능자), 학력무관, 기간의 정함이 있는 근로계약, 12개월, 1명, 입사지원현황통계, 충청남도, 보령시, 주교면 보령북로 404, 사회복지사"
경리 경력자 우대 정규직 및 일급직 급여 계산 및 관리 실근무 출근9시 한시간일찍퇴근 17시,"총무,사무보조,경리, 무관, 학력무관, 정규직, 1명, 인천 남동구, 인천 1호선, 예술회관역, 10번출구, 400m (도보 6분), 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 퇴직연금, 공휴일 휴무, 연차제도, 월차제도, 주5일제, 주말 휴무, 탕비실, 흡연공간, 식사 지원, 점심 식사 지원, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[신한투자증권/여의도] 본사 사무보조 채용(워라벨 우수),"사무담당자,사무보조,비서, 신입, ,, 경력, (년수무관), 학력무관, 계약직, ○명, 서울 영등포구, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 퇴직금, 경조휴가, 노동절 휴무, 반차제도, 보건휴가, 연차제도, 주5일제, 경조금, 명절선물/명절상여, 연월차제도수당, 연차수당, 신입 사원 교육, 휴식공간, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[서울CIS/반포센터] 차량 고장접수 주간 상담원 채용(고속터미널역),"인바운드상담원, 무관, 학력무관, 계약직, ○명, 서울 서초구, 서울, 서울 관악구, 서울 강남구, 서울 송파구, 경기, 수도권 3호선, 고속터미널역, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[심야격일/휴게 4시간]  서울CIS 차량 사고접수 상담원 모집,"사무보조,인바운드상담원, 무관, 학력무관, 계약직, ○명, 서울 서초구, 서울, 서울 관악구, 서울 강남구, 서울 광진구, 경기, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[SK플래닛/판교]  모바일 마케팅/캠페인 지원 인력 채용,"마케팅기획,온라인마케터,콘텐츠마케터, 무관, 학력무관, 계약직, ○명, 경기 성남시 분당구, 경기 성남시 수정구, 경기 성남시 중원구, 경기, 서울, 근무형태 :, 주 5일 근무, 국민연금, 건강보험, 고용보험, 산재보험, 해당없음, 연차제도, 주5일제, 창립일 행사, 성과급, 야간근로수당, 우수사원 포상제도, 휴일근로수당, 휴식공간, 흡연공간, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
사상구 괘법동에 위치한 건강백세 주야간보호센터에서 주야간보호센터/요양보호사를 아래와 같이 채용하고자 합니다.,"(최소 0년 3 개월 이상), 우대, 고졸 ~ 대졸(2~3년), 기간의 정함이 없는 근로계약, 2명, 입사지원현황통계, 부산광역시, 사상구, 광장로87번길 97  (괘법동), 시설 요양보호사(노인요양사), 요양보호사"
[강서구] GUI 저작도구 개발 (책임~팀장급),"- GUI 저작도구 개발, 그래픽디자인,3D디자인,GUI 디자인, 경력, (최소 5년, 이상), 대졸(2~3년), 정규직, 0명, 서울 강서구, 수도권 9호선, 가양역, 1번출구, 400m, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
무역사무원,"(최소 3년 0 개월 이상), 필수, 학력무관, 기간의 정함이 없는 근로계약, 1명, 입사지원현황통계, 부산광역시, 사상구, 엄궁로 14, 3층, 무역 사무원"
