소관 부처,자격종목,등급,자격관리자,공인유효기간(시작),공인유효기간(만료),기공인기간(시작),기공인기간(만료)
교육부,한자.한문 전문지도사,"지도사2급, 지도사1급, 훈장2급, 훈장1급, 훈장특급",(사)대한민국한자교육연구회·대한검정회,2024-01-01,2026-12-31,2009-01-07,2023-12-31
교육부,한자.한문 전문지도사,아동지도사급,(사)대한민국한자교육연구회·대한검정회,2024-01-01,2026-12-31,2017-10-01,2023-12-31
교육부,한자급수자격검정,"사범, 1급, 준1급, 2급, 준2급",(사)대한민국한자교육연구회·대한검정회,2024-01-01,2026-12-31,2004-01-27,2016-02-09
교육부,한자급수자격검정,"사범, 1급, 준1급, 2급, 준2급",(사)대한민국한자교육연구회·대한검정회,2024-01-01,2026-12-31,2016-10-01,2023-12-31
교육부,한국한자검정,"1급, 2급, 3급, 준3급",(사)한국평생교육평가원,2024-01-01,2026-12-31,2006-02-10,2023-12-31
교육부,FLEX 중국어(듣기/읽기),"1A급, 1B급, 1C급, 2A급, 2B급, 2C급, 3A급, 3B급, 3C급",대한상공회의소,2022-01-01,2024-12-31,2007-04-13,2021-12-31
교육부,FLEX 일본어(듣기/읽기),"1A급, 1B급, 1C급, 2A급, 2B급, 2C급, 3A급, 3B급, 3C급",대한상공회의소,2022-01-01,2024-12-31,2007-04-13,2021-12-31
교육부,FLEX 독일어(듣기/읽기),"1A급, 1B급, 1C급, 2A급, 2B급, 2C급, 3A급, 3B급, 3C급",대한상공회의소,2022-01-01,2024-12-31,2009-01-07,2021-12-31
교육부,FLEX 스페인어(듣기/읽기),"1A급, 1B급, 1C급, 2A급, 2B급, 2C급, 3A급, 3B급, 3C급",대한상공회의소,2023-01-01,2025-12-31,2009-01-07,2022-12-31
교육부,FLEX 프랑스어(듣기/읽기),"1A급, 1B급, 1C급, 2A급, 2B급, 2C급, 3A급, 3B급, 3C급",대한상공회의소,2023-01-01,2025-12-31,2009-01-07,2022-12-31
교육부,FLEX 영어(듣기/읽기),"1A급, 1B급, 1C급, 2A급, 2B급, 2C급, 3A급, 3B급, 3C급",대한상공회의소,2024-01-01,2026-12-31,2009-09-21,2023-12-31
교육부,FLEX러시아어(듣기/읽기),"1A급, 1B급, 1C급,2A급, 2B급, 2C급, 3A급, 3B급, 3C급",대한상공회의소,2024-01-01,2026-12-31,2010-11-24,2023-12-31
교육부,상공회의소 한자,"1급, 2급, 3급",대한상공회의소,2023-01-01,2025-12-31,2007-11-14,2022-12-31
교육부,한자어능력,"1급, 2급, 3급",(사)한국정보관리협회,2024-01-01,2025-12-31,2009-09-21,2023-12-31
교육부,브레인트레이너,단일등급,국제뇌교육종합대학원대학교,2024-01-01,2025-12-31,2009-09-21,2023-12-31
법무부,디지털포렌식전문가,2급,(사)한국포렌식학회/한국인터넷진흥원,2022-12-17,2027-12-16,2012-12-17,2022-12-16
행정안전부,옥외광고사,2급,한국옥외광고협회중앙회,2024-02-06,2026-02-05,2003-02-06,2024-02-05
행정안전부,행정관리사,"1급, 2급, 3급",(사)한국행정관리협회,2024-01-09,2027-01-09,2004-02-01,2024-01-09
행정안전부,정보시스템감리사,등급없음,한국지능정보사회진흥원,2021-02-17,2026-02-16,2001-01-02,2021-02-16
문화체육관광부,실천예절지도사,등급없음,(사)범국민예의생활실천운동본부,2023-02-17,2026-02-16,2006-02-17,2023-02-16
문화체육관광부,종이접기,마스터,(사)한국종이접기협회,2020-01-01,2024-12-31,2006-02-27,2019-12-31
