name
광고기획자
심리·언어치료사
통신기기·장비 개발자 및 연구원
프레스기 및 절단기 조작원
폐유·재생유 처리 제어장치 조작원
하수·폐수 처리장치 조작원
항공기·철도차량 공학 기술자
화장품 생산기계 조작원

건축 제도사
레이저 절단원
사상원
헬스 트레이너

CNC 기계 조작원
레저·테마파크 안전요원

건물 보수원 및 영선원
