job_title,texts
CJ대한통운) 해슬리나인브릿지 코스관리 채용,"미디어·문화·스포츠, 경력, (최소 1년, 이상), 대졸(2~3년), 정규직, 0명, 경기 여주시, 퇴직금, 창립일행사,워크샵,플레이샵,신규 입사자 교육(OJT),직무능력향상교육,리더십 강화교육,외국어 교육 지원,연차,반차,휴가비지원,포상휴가,인센티브제,장기근속자 포상,우수사원포상,퇴직금,건강검진,의료비지원(본인),기숙사 운영,직원대출제도,구내식당(사원식당),통근버스 운행,점심식사 제공,저녁식사 제공,각종 경조사 지원,사내동호회 운영,야근수당,휴일(특근)수당,연차수당,수평적 조직문화,창립일선물지급,생일선물/파티,산전 후 휴가,육아휴직,휴게실,수면실,회의실,공기청정기,카페테리아,휴양시설 제공,장애인 전용주차장,비상경보장치,자유복장,유니폼지급,아침식사 제공,간식 제공,음료제공(차,커피),주택자금 융자,주차장제공,사원증,자회사 제품할인,콘도/리조트 이용권,본인학자금,통신비 지원,자녀학자금,4대 보험,사무용품 지급, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
인공지능(딥러닝) 연구개발자 채용,"IT개발·데이터, 경력, (최소 2년, 이상), 대졸(2~3년), 정규직, 0명, 경기 용인시 기흥구, 근무형태 :, 주 5일 근무, (월~금), 근무시간 :, 08:30~17:30, 퇴직연금, 창립일행사,우수사원시상식,워크샵,교육비 지원,연차,여름휴가,경조휴가제,반차,근로자의날 휴무,퇴직연금,인센티브제,상여금,장기근속자 포상,우수사원포상,퇴직금,건강검진,의료비지원(본인),점심식사 제공,야근수당,휴일(특근)수당,연차수당,직책수당,명절선물/귀향비,창립일선물지급,생일선물/파티,회의실,공기청정기,자유복장,식비 지원,음료제공(차,커피),주차비지원,노트북,선택적복리후생,4대 보험,자유로운 연차사용,주 52시간제 준수,장기근속 선물, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
[삼구에프에스] 한국델몬트 음성센터 생산관리 사원모집,"생산, 무관, 학력무관, 정규직, 0명, 충북 음성군, 퇴직연금, 우수사원시상식,신규 입사자 교육(OJT),연차,여름휴가,경조휴가제,반차,퇴직연금,장기근속자 포상,우수사원포상,퇴직금,건강검진,기숙사 운영,구내식당(사원식당),점심식사 제공,저녁식사 제공,야근수당,휴일(특근)수당,연차수당,회식강요 안함,명절선물/귀향비,생일선물/파티,육아휴직,휴게실,유니폼지급,간식 제공,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
연구개발 C# 응용프로그램 개발자 채용,"IT개발·데이터, 경력, (최소 2년, 이상), 대졸(2~3년), 정규직, 0명, 경기 용인시 기흥구, 근무형태 :, 주 5일 근무, (월~금), 근무시간 :, 08:30~17:30, 퇴직연금, 창립일행사,우수사원시상식,워크샵,교육비 지원,연차,여름휴가,경조휴가제,반차,근로자의날 휴무,퇴직연금,인센티브제,상여금,장기근속자 포상,우수사원포상,퇴직금,건강검진,의료비지원(본인),점심식사 제공,야근수당,휴일(특근)수당,연차수당,직책수당,명절선물/귀향비,창립일선물지급,생일선물/파티,회의실,공기청정기,자유복장,식비 지원,음료제공(차,커피),주차비지원,노트북,선택적복리후생,4대 보험,자유로운 연차사용,주 52시간제 준수,장기근속 선물, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
의료법인동해동인병원영양실 [ 조리원 ] 선생님 모집합니다,"서비스, 무관, 학력무관, 정규직, 0명, 강원 동해시, 근무형태 :, 퇴직금, 신규 입사자 교육(OJT),연차,경조휴가제,반차,포상휴가,장기근속자 포상,우수사원포상,퇴직금,건강검진,의료비지원(본인),기숙사 운영,구내식당(사원식당),통근버스 운행,점심식사 제공,야근수당,연차수당,직책수당,회식강요 안함,야근강요 안함,명절선물/귀향비,의료비지원(가족),유니폼지급,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
퍼포먼스 마케팅 광고대행사 AE 마케터 채용 [초봉 3천+성과급],"상품기획·MD,미디어·문화·스포츠,마케팅·홍보·조사,기획·전략,영업·판매·무역, 무관, 학력무관, 정규직, 00명, 서울, 서울 강서구, 서울 관악구, 서울 구로구, 서울 금천구, 경기 광명시, 경기 부천시, 경기 시흥시, 경기 안산시, 경기 안양시, 수도권 1호선, 가산디지털단지역, 0번출구, 300m, 근무형태 :, 주 5일 근무, (월~금), 근무시간 :, 09:00~18:00, 퇴직연금, 창립일행사,우수사원시상식,워크샵,플레이샵,신규 입사자 교육(OJT),직무능력향상교육,리더십 강화교육,도서구입비지원,멘토링제도,교육비 지원,연차,여름휴가,경조휴가제,반차,Refresh휴가,창립일휴무,근로자의날 휴무,휴가비지원,포상휴가,퇴직연금,인센티브제,장기근속자 포상,우수사원포상,퇴직금,건강검진,금연수당,구내식당(사원식당),점심식사 제공,각종 경조사 지원,사내동호회 운영,성과급,수평적 조직문화,회식강요 안함,야근강요 안함,명절선물/귀향비,생일선물/파티,산전 후 휴가,육아휴직,남성출산휴가,휴게실,수면실,회의실,공기청정기,카페테리아,휴양시설 제공,사내 정원,건물 내 경사로,휠체어용 난간,유도점자블록,장애인 화장실,장애인 전용주차장,문턱 없음,자유복장,캐주얼데이,아침식사 제공,간식 제공,식비 지원,음료제공(차,커피),주차장제공,주차비지원,노트북,콘도/리조트 이용권,업무활동비 지급,해외여행 지원,4대 보험,사무용품 지급,패밀리데이, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
"NO.1 영유아 브랜드 베베숲 (BM,PM,상품기획) 경력 채용","마케팅·홍보·조사,기획·전략, 경력, (최소 1년, 이상), 대졸(4년), 정규직, 0명, 서울 강남구, 수도권 2호선, 역삼역, 0번출구, 500m, 해당없음, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
아이&맘편작한의원 직원 구인합니다..(주5일. 하루일찍퇴근),"의료, 무관, 고졸, 계약직 후 정규직 전환 검토, 0명, 경남 진주시, 퇴직연금, 여름휴가,퇴직연금,퇴직금,명절선물/귀향비,유니폼지급,음료제공(차,커피),주요 제품 직원 할인,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
CJ대한통운) 해슬리나인브릿지 운영기획 채용공고,"서비스,상품기획·MD,미디어·문화·스포츠,마케팅·홍보·조사,영업·판매·무역, 경력, (최소 5년, 이상), 대졸(2~3년), 정규직, 0명, 경기 여주시, 퇴직금, 창립일행사,워크샵,플레이샵,신규 입사자 교육(OJT),직무능력향상교육,리더십 강화교육,외국어 교육 지원,연차,반차,휴가비지원,포상휴가,인센티브제,장기근속자 포상,우수사원포상,퇴직금,건강검진,의료비지원(본인),기숙사 운영,직원대출제도,구내식당(사원식당),통근버스 운행,점심식사 제공,저녁식사 제공,각종 경조사 지원,사내동호회 운영,야근수당,휴일(특근)수당,연차수당,수평적 조직문화,창립일선물지급,생일선물/파티,산전 후 휴가,육아휴직,휴게실,수면실,회의실,공기청정기,카페테리아,휴양시설 제공,장애인 전용주차장,비상경보장치,자유복장,유니폼지급,아침식사 제공,간식 제공,음료제공(차,커피),주택자금 융자,주차장제공,사원증,자회사 제품할인,콘도/리조트 이용권,본인학자금,통신비 지원,자녀학자금,4대 보험,사무용품 지급, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
(주)광주신세계 직영샵판매(골프샵) 채용,"서비스, 무관, 학력무관, 정규직, 0명, 광주, 광주 서구, 광주 1호선, 농성역, 0번출구, 800m, 퇴직금, 인센티브제,퇴직금,4대 보험, 채용담당자의 개인정보(연락처, 이메일)는 채용 및 취업을 위해서 제공된 정보입니다., 이외의 목적으로 사용시 징역·벌금에 처할 수 있습니다., 채용담당자, 위 개인정보(연락처 및 이메일 등)는 채용 및 취업을 위해서 제공된 정보입니다. 용도 이외의 목적(영리목적의 광고, 자격증 대여 문의 등)으로 사용할 경우 개인정보보호법 위반으로, 5년 이하의 징역 또는 5천만원 이하의 벌금에 처할 수 있습니다., 거짓 구인정보 신고"
